"Name","activation","lr","num_hidden_layers","num_neurons_per_layer","train_acc","train_f1","train_hamming","train_loss","train_precision","train_recall","val_acc","val_f1","val_hamming","val_loss","val_precision","val_recall"
"trim-sweep-7","identity","0.00001","16","4","0.2094389880952381","0.33099722536925147","0.45703125","5.50390157352771","0.33195833333333336","0.3300416666666666","0.2461547619047619","0.37033415748857423","0.4275","5.463094236192862","0.3831666666666667","0.35833333333333334"
"smooth-sweep-56","tanh","0.00001","4","8","0.18991815476190474","0.38830495998141495","0.44265625","5.505511227627778","0.4709851190476191","0.3303184523809524","0.18008333333333332","0.38199055383412056","0.43375","5.496815162848054","0.469452380952381","0.322"
"major-sweep-57","tanh","0.00001","4","16","0.21651934523809524","0.3565193241444123","0.42546875","5.46482546130527","0.40137500000000004","0.32068154761904766","0.17929761904761904","0.30496622501340276","0.4325","5.436905529851848","0.3537619047619048","0.26799999999999996"
"gallant-sweep-61","tanh","0.00001","16","4","0.13582589285714286","0.20772787232235992","0.393125","5.366356556886001","0.3414583333333333","0.14926785714285715","0.1515","0.2312592117910926","0.38875","5.333206623266339","0.34666666666666673","0.17350000000000002"
"amber-sweep-21","relu","0.00001","4","16","0.15684821428571427","0.2881531135151923","0.3915625","5.388068215402856","0.485","0.2049642857142857","0.1510952380952381","0.27972377029319123","0.38","5.361495174189221","0.4925","0.19533333333333336"
"dauntless-sweep-2","identity","0.00001","4","8","0.1814985119047619","0.3171921155483021","0.40984375","5.363406969981299","0.43584523809523806","0.24931845238095235","0.14859523809523809","0.2787650406504065","0.42625","5.412328841252193","0.40149999999999997","0.21350000000000002"
"azure-sweep-4","identity","0.00001","8","4","0.1499642857142857","0.22120315122477802","0.38171875","5.348795572190571","0.38083333333333336","0.15586904761904763","0.1295","0.19636363636363638","0.37625","5.32877857375259","0.36","0.135"
"colorful-sweep-60","tanh","0.00001","8","16","0.12808035714285715","0.2602293638303155","0.39421875","5.30679145656766","0.535375","0.17188988095238095","0.12816666666666665","0.27358774038461536","0.395","5.362472051790897","0.5058333333333334","0.1875"
"genial-sweep-58","tanh","0.00001","8","4","0.1597589285714286","0.2551655928402364","0.39625","5.382138271924015","0.3834375","0.19120238095238093","0.12083333333333332","0.2007303762471451","0.4","5.390268040590301","0.31483333333333335","0.14733333333333332"
"crimson-sweep-55","tanh","0.00001","4","4","0.12059821428571428","0.2483704602070702","0.394375","5.380446851151848","0.5760416666666667","0.15831547619047617","0.11833333333333332","0.24529213569186","0.39125","5.3254120401829095","0.5691666666666666","0.15633333333333332"
"icy-sweep-3","identity","0.00001","4","16","0.12315178571428571","0.2373701793782096","0.3690625","5.20896516706782","0.6111458333333334","0.14728869047619045","0.10416666666666666","0.1959249329758713","0.3575","5.22075029201145","0.63","0.11599999999999998"
"breezy-sweep-1","identity","0.00001","4","4","0.10722767857142858","0.23258422281521013","0.38578125","5.298377744049642","0.6385416666666667","0.1421875","0.1037857142857143","0.2256876950512706","0.37875","5.258791580623276","0.6091666666666666","0.13849999999999998"
"stoic-sweep-59","tanh","0.00001","8","8","0.07017261904761904","0.1493730297467105","0.36890625","5.259863416391756","0.730625","0.0831904761904762","0.0755","0.14638156436959893","0.3675","5.292374475991796","0.67","0.08216666666666665"
"glad-sweep-9","identity","0.00001","16","16","0.059","0.11665591262291701","0.351875","5.158255146069628","0.84625","0.06264583333333333","0.051666666666666666","0.11599423631123917","0.35","5.27184667173796","0.805","0.06249999999999999"
"young-thunder-853","relu","0.00001","4","8","0.042166666666666665","0.10112458459003573","0.364375","5.422758443174462","0.8342708333333334","0.053824404761904754","0.05102380952380952","0.12367452558941922","0.3475","5.433686319225405","0.8025","0.067"
"dazzling-sweep-62","tanh","0.00001","16","8","0.05187797619047618","0.1014540521566161","0.36203125","5.242076702830396","0.7595833333333334","0.054357142857142854","0.041166666666666664","0.07815492089582905","0.35625","5.228331093530184","0.77","0.041166666666666664"
"silver-sweep-66","tanh","0.0001","4","16","0.02314583333333333","0.045878987061888386","0.3496875","5.128791916232609","0.928125","0.023520833333333328","0.03166666666666666","0.061157323688969256","0.3425","5.183173805925986","0.89","0.03166666666666666"
"good-sweep-70","tanh","0.0001","16","4","0.017961309523809522","0.04219052978099818","0.3478125","5.151440558000684","0.9675","0.02156547619047619","0.031166666666666665","0.06900776531492665","0.3375","5.115615253467887","0.93","0.03583333333333333"
"divine-sweep-69","tanh","0.0001","8","16","0.0390625","0.08094706939718815","0.34484375","5.0632447311730555","0.93125","0.042312499999999996","0.023666666666666662","0.04607982096232749","0.34375","5.131241280788993","0.87","0.023666666666666662"
"polished-sweep-6","identity","0.00001","8","16","0.042770833333333334","0.08277210106828815","0.35203125","5.147301212373293","0.8679166666666666","0.043458333333333335","0.022000000000000002","0.042914798206278026","0.34375","5.114127136797725","0.87","0.022000000000000002"
"deft-sweep-30","relu","0.0001","4","16","0.017791666666666667","0.03707482868714753","0.3453125","5.123520369238264","0.9772916666666666","0.018895833333333334","0.0175","0.04398496240601504","0.335","5.13561459183001","0.975","0.0225"
"revived-sweep-5","identity","0.00001","8","8","0.013291666666666667","0.02703018552637216","0.34984375","5.17082543352458","0.95875","0.013708333333333331","0.017333333333333333","0.03405806887238352","0.33375","5.134984531076486","0.97","0.017333333333333333"
"proud-sweep-63","tanh","0.00001","16","16","0.021991071428571426","0.04846037320075552","0.35140625","5.142036440164507","0.9347291666666666","0.024874999999999998","0.016666666666666666","0.032733812949640284","0.345","5.185885841075521","0.91","0.016666666666666666"
"dazzling-sweep-19","relu","0.00001","4","4","0.012523809523809524","0.037771335961031195","0.35234375","5.421891208632972","0.966875","0.01926190476190476","0.015666666666666666","0.05971485600228114","0.3475","5.415424730646022","0.9433333333333332","0.03083333333333333"
