"Name","dropout","lr","num_blocks","optimizer","train_loss","val_loss"
"grateful-sweep-12","0.2","0.0005","7","adam","0.04437521288199776","0.00485248518143248"
"zany-sweep-4","0","0.0005","7","adam","0.002124144406581468","0.005211356358491936"
"stilted-sweep-2","0","0.0005","5","adam","0.0068111653035792625","0.0056928102513917654"
"efficient-sweep-10","0.2","0.0005","5","adam","0.05111968934743991","0.0074664993319063485"
"gentle-sweep-18","0.4","0.0005","5","adam","0.09845505947445704","0.01003391042282369"
"ethereal-sweep-8","0","0.005","7","adam","0.007357284082170708","0.020617694616258304"
"wild-sweep-20","0.4","0.0005","7","adam","0.08273166149552098","0.02144614704314897"
"avid-sweep-6","0","0.005","5","adam","0.3044936447238862","0.3153889474875115"
"young-sweep-15","0.2","0.005","7","sgd","0.614334418537653","0.5684042684387872"
"volcanic-sweep-23","0.4","0.005","7","sgd","0.6165852212361272","0.5685648040314536"
"morning-sweep-5","0","0.005","5","sgd","0.6107849213223772","0.5693172660703955"
"misunderstood-sweep-13","0.2","0.005","5","sgd","0.6177049872233783","0.5701841995432141"
"driven-sweep-3","0","0.0005","7","sgd","0.6106298488711343","0.5703015061444603"
"revived-sweep-1","0","0.0005","5","sgd","0.6106599234990057","0.5703523573874337"
"hardy-sweep-21","0.4","0.005","5","sgd","0.6242272995298889","0.5710354361316546"
"sweet-sweep-11","0.2","0.0005","7","sgd","0.6167463630362211","0.5710661456513991"
"bright-sweep-9","0.2","0.0005","5","sgd","0.6162957003727783","0.5713421680142191"
"stellar-sweep-19","0.4","0.0005","7","sgd","0.627770379450418","0.5723089620364493"
"astral-sweep-7","0","0.005","7","sgd","0.6110508056915351","0.5724844807533528"
"ancient-sweep-17","0.4","0.0005","5","sgd","0.6266204260932613","0.5732461016853043"
"young-sweep-22","0.4","0.005","5","adam","0.7001435291873017","0.6188593797702738"
"snowy-sweep-14","0.2","0.005","5","adam","0.7868131039862706","0.8606848748440438"
"good-sweep-24","0.4","0.005","7","adam","0.8479897715718613","0.9478011413457544"
"proud-sweep-16","0.2","0.005","7","adam","106835216380.07268","3.689279216321859"
