"Name","dropout","lr","num_blocks","optimizer","train_loss","val_loss"
"stoic-sweep-13","0.2","0.05","5","sgd","1.234136690343092","1.210922971684882"
"grateful-sweep-21","0.4","0.05","5","sgd","1.234193438200781","1.2109272327828915"
"still-sweep-5","0","0.05","5","sgd","1.2342120145783206","1.2110050117715876"
"ancient-sweep-8","0","0.05","7","adam","1.2356307633637171","1.2117531305931983"
"comfy-sweep-24","0.4","0.05","7","adam","1.2356307633637171","1.2117531305931983"
"fluent-sweep-12","0.2","0.005","7","adam","1.2356307633637171","1.2117531305931983"
"unique-sweep-4","0","0.005","7","adam","1.2356307633637171","1.2117531305931983"
"fine-sweep-16","0.2","0.05","7","adam","1.2356307633637171","1.2117531305931983"
"likely-sweep-20","0.4","0.005","7","adam","1.2356307633637171","1.2117531305931983"
"devout-sweep-6","0","0.05","5","adam","1.2356836381297427","1.2117531305931983"
"major-sweep-14","0.2","0.05","5","adam","1.2607999624032054","1.2117531305931983"
"expert-sweep-2","0","0.005","5","adam","1.2356836381297427","1.2117531305931983"
"solar-sweep-18","0.4","0.005","5","adam","1.2356836381297427","1.2117531305931983"
"robust-sweep-23","0.4","0.05","7","sgd","1.235146377594943","1.211834691306378"
"visionary-sweep-15","0.2","0.05","7","sgd","1.2350928638187155","1.2118890222082748"
"devoted-sweep-7","0","0.05","7","sgd","1.2351181531315527","1.2119588116382032"
"faithful-sweep-9","0.2","0.005","5","sgd","1.2461581847389338","1.224833536021253"
"rich-sweep-17","0.4","0.005","5","sgd","1.2462156345396478","1.2249231167296146"
"fragrant-sweep-1","0","0.005","5","sgd","1.2479846592481971","1.226984070970657"
"peach-sweep-19","0.4","0.005","7","sgd","1.2515325951697258","1.231644925918985"
"copper-sweep-11","0.2","0.005","7","sgd","1.2515286304018824","1.2318841555017106"
"twilight-sweep-3","0","0.005","7","sgd","1.2522802162291435","1.2328049565883392"
"electric-sweep-22","0.4","0.05","5","adam","1.4600913790881935","1.475050909088013"
"charmed-sweep-10","0.2","0.005","5","adam","1.4898079500585644","1.475050909088013"
